,game_time,road_team,home_team,road_points,home_points,w_l,money_line_final,spread_init,spread_final,spread_w_l,spread_odds_final,totals_init,totals_final,totals_w_l,totals_odds_final,margin,margin_odds,expectedTotals0,expectedTotals1,totals_diff
101,2016-03-30 07:00:00,CHA,PHI,100,85,0.0,1.04,10.5,10.5,0,1.69,208.5,208.5,0,1.7,客11-15,3.95,210.7237837837838,203.4,5.099999999999994
102,2016-04-03 07:30:00,IND,PHI,115,102,0.0,1.05,10.5,10.5,0,1.75,203.5,203.5,3,1.81,客11-15,3.85,209.13636363636363,201.35000000000002,2.1499999999999773
103,2016-04-07 10:30:00,LAC,LAL,91,81,0.0,1.04,11.5,11.5,3,1.69,205.5,203.5,0,1.75,客6-10,3.2,211.24358974358978,199.85,5.650000000000006
104,2016-04-10 08:00:00,GSW,MEM,100,99,0.0,1.01,11.5,12.5,3,1.82,212.5,210.5,0,1.75,客1-5,5.65,215.65305555555554,212.3,0.19999999999998863
105,2016-04-23 09:30:00,SAS,MEM,96,87,0.0,1.02,11.5,12.5,3,1.75,184.5,183.5,0,1.81,客6-10,3.25,204.8780487804878,194.7,-10.199999999999989
106,2016-04-25 01:00:00,SAS,MEM,116,95,0.0,1.01,11.5,13.5,0,1.75,183.5,182.5,3,1.81,客21-25,5.6,204.8780487804878,194.7,-11.199999999999989
107,2016-10-29 09:30:00,GSW,NOP,122,114,0.0,1.02,10.5,12.5,3,1.75,220.5,223.5,3,1.75,客6-10,3.5,220.0,221.65,-1.1500000000000057
108,2016-10-31 06:00:00,GSW,PHX,106,100,0.0,1.01,11.5,12.5,3,1.75,224.5,223.5,0,1.75,客6-10,3.45,221.33333333333331,216.75,7.75
109,2016-11-05 10:30:00,GSW,LAL,97,117,3.0,6.2,10.5,11.5,3,1.82,226.5,229.5,0,1.75,主16-20,60.0,220.86666666666667,214.25,12.25
110,2016-11-06 07:00:00,CLE,PHI,102,101,0.0,1.01,13.5,13.5,3,1.69,206.5,205.5,0,1.81,客1-5,5.4,216.5,206.4,0.09999999999999432
111,2016-11-22 08:00:00,GSW,IND,120,83,0.0,1.01,11.5,12.5,0,1.69,222.5,220.5,0,1.75,客26+,5.5,225.68666666666667,232.89999999999998,-10.399999999999977
